"ID","ReleaseDate","Grade","Edition","Name","OfficialJPY","TaxExJPY","OfficialKRW","AppliedMultiplier","DiscrepancyCheck"
"1","2002-11-16","HG","?쇰컲??(Standard)","1/144 HG AILE STRIKE GUNDAM","1320","1200","14400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"10","2013-12-01","HG","?쇰컲??(Standard)","HGBF 1/144 BEARGGUY III","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"100","2020-12-19","HG","?쇰컲??(Standard)","HGBD:R 1/144 DOUBLE REBAKE RIFLE","770","700","8400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1000","2015-05-15","HG","?쇰컲??(Standard)","HG 1/144 GUNTANK EARLY TYPE","2090","1900","22800","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1001","2015-10-31","HG","?쇰컲??(Standard)","HG 1/144 MOBILE WORKER MW-01 MODEL 01 LATE TYPE (MASH)","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1002","2015-04-29","HG","?쇰컲??(Standard)","HG 1/144 CATSITH","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1003","2015-06-20","HGUC","?쇰컲??(Standard)","HGUC 1/144 RX-77-2 GUNCANNON","1540","1400","16800","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1004","2015-07-25","HGUC","?쇰컲??(Standard)","HGUC 1/144 RX-78-2 GUNDAM","1320","1200","14400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1005","2015-04-24","HG","?쇰컲??(Standard)","HGBF 1/144 CROSSBONE GUNDAM X1 FULL CLOTH TYPE.GBFT","2420","2200","26400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1006","2015-11-28","HGUC","?쇰컲??(Standard)","HGUC 1/144 RX-178 GUNDAM MK-Ⅱ(TITANS)","1870","1700","20400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1007","2015-11-28","HGUC","?쇰컲??(Standard)","HGUC 1/144 RX-178 GUNDAM MK-Ⅱ(AEUG)","1870","1700","20400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1008","2015-09-19","HG","?쇰컲??(Standard)","HG 1/144 PROTOTYPE GOUF (TACTICAL DEMONSTRATOR)","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1009","2015-09-12","HG","?쇰컲??(Standard)","HGBF 1/144 KAMIKI BURNING GUNDAM","2200","2000","24000","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"101","2020-06-13","SDBD","?쇰컲??(Standard)","SDBD:R EX VLKYLANDER","1430","1300","15600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1010","2016-02-27","HG","?쇰컲??(Standard)","HG 1/144 YMS-08B DOM TEST TYPE","2420","2200","26400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1011","2016-05-21","HG","?쇰컲??(Standard)","HG 1/144 ZAKUⅠ[DENIM/SLENDER]","1870","1700","20400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1012","2016-11-19","HG","?쇰컲??(Standard)","HG 1/144 GUNCANNON FIRST TYPE (IRON CAVALRY SQUADRON)","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1013","2016-12-03","HG","?쇰컲??(Standard)","HG 1/144 MS-04 BUGU [RAMBA RAL]","1870","1700","20400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1014","2017-03-11","HG","?쇰컲??(Standard)","HG 1/144 MS-05 ZAKU I  [CHAR AZNABLE]","1870","1700","20400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1015","2018-04-07","HG","?쇰컲??(Standard)","HGBD 1/144 GUNDAM 00 DIVER","1100","1000","12000","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1016","2018-04-28","HG","?쇰컲??(Standard)","HGBD 1/144 GRIMOIRE RED BERET","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1017","2018-04-14","HG","?쇰컲??(Standard)","HGBD 1/144 GMIII BEAM MASTER","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1018","2018-05-19","HG","?쇰컲??(Standard)","HGBD 1/144 MOMOKAPOOL","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1019","2018-05-19","HG","?쇰컲??(Standard)","HGBD 1/144 OGRE GN-X","2200","2000","24000","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"102","2020-06-27","HG","?쇰컲??(Standard)","HGBD:R 1/144 FAKE ν UNIT","935","850","10200","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1020","2018-05-19","HG","?쇰컲??(Standard)","HGBD 1/144 SERAVEE GUNDAM SCHEHERAZADE","2420","2200","26400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1021","2018-07-21","HG","?쇰컲??(Standard)","HGBD 1/144 GUNDAM 00 DIVER ACE","2420","2200","26400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1022","2018-06-23","HG","?쇰컲??(Standard)","HGBD 1/144  GEARA GHIRARGA","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1023","2018-06-23","HG","?쇰컲??(Standard)","HGBD 1/144 LEO NPD","1320","1200","14400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1024","2018-07-28","HG","?쇰컲??(Standard)","HGBD 1/144 GUNDAM JIYAN ALTRON","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1025","2018-03-10","HG","?쇰컲??(Standard)","HGBD 1/144 GUNDAM AGEII MAGNUM","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1026","2018-07-14","HG","?쇰컲??(Standard)","HGBD 1/144 GALBALDY REBAKE","2420","2200","26400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1027","2018-09-22","Figure-rise Standard","?쇰컲??(Standard)","Figure-rise Standard BUILD DIVERS DIVERNAMI","2640","2400","28800","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1028","2018-08-31","HG","?쇰컲??(Standard)","HGBD 1/144 GUNDAM 00 SKY","1870","1700","20400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1029","2018-08-25","SDBD","?쇰컲??(Standard)","SDBD RX-ZEROMARU","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"103","2020-11-21","HG","?쇰컲??(Standard)","HGBD:R 1/144 LOAD ASTRAY DOUBLE REBAKE","2200","2000","24000","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1030","2018-08-04","HG","?쇰컲??(Standard)","HGBD 1/144 GUNDAM ASTRAY NO-NAME","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1031","2018-09-08","HG","?쇰컲??(Standard)","HGBD 1/144 JEGAN BLAST MASTER","2200","2000","24000","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1032","2018-09-29","HG","?쇰컲??(Standard)","HGBD 1/144 IMPLUSE GUNDAM ARC","2090","1900","22800","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1034","2018-06-23","HGUC","?쇰컲??(Standard)","HGUC 1/144 UNICORN GUNDAM 03 PHENEX (DESTROY MODE) (NARRATIVE Ver.)","3300","3000","36000","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1035","2018-09-29","HG","?쇰컲??(Standard)","HGBD 1/144 IMPLUSE GUNDAM LANCIER","2090","1900","22800","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1036","2018-11-17","HG","?쇰컲??(Standard)","HGBD 1/144 GBN-GUARD FRAME","1320","1200","14400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1037","2018-10-13","HG","?쇰컲??(Standard)","HGBD 1/144 GUNDAM LOVE PHANTOM","2420","2200","26400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1038","2018-11-17","HG","?쇰컲??(Standard)","HGBD 1/144 GUNDAM 00 SKY HWS (TRANS-AM INFINITY MODE)","2530","2300","27600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1039","2019-01-19","HG","?쇰컲??(Standard)","HGBD 1/144 GBN-BASE GUNDAM","1760","1600","19200","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"104","2020-09-26","HG","?쇰컲??(Standard)","HGBD:R 1/144 TERTIUM ARMS","825","750","9000","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1040","2018-12-29","PG","?쇰컲??(Standard)","PG 1/60 LED UNIT FOR GUNDAM EXIA","22000","20000","240000","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1041","2018-08-31","HG","?쇰컲??(Standard)","HGBD 1/144 GUNDAM 00 SKY 〔HIGHER THAN SKY PHASE〕","2750","2500","30000","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1042","2018-12-15","HG","?쇰컲??(Standard)","HGBD 1/144 GUNDAM SHINING BREAK","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1043","2018-12-22","HG","?쇰컲??(Standard)","HGBD 1/144 GUNDAM AGEII MAGNUM SV ver.","2420","2200","26400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1044","2019-01-26","HG","?쇰컲??(Standard)","HGBC 1/144  HWS & SV CUSTOM WEAPON SET","1320","1200","14400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1045","2019-01-26","SDBD","?쇰컲??(Standard)","SDBD RX-ZEROMARU SINKIKESSHO","1980","1800","21600","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1046","2018-12-15","HG","?쇰컲??(Standard)","HGBD MOBILE DOLL SARAH","2640","2400","28800","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1047","2019-02-09","HG","?쇰컲??(Standard)","HGBD 1/144 GUNDAM ZERACHIEL","2750","2500","30000","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1048","2019-03-22","Figure-rise Standard","?쇰컲??(Standard)","Figure-rise Standard BUILD DIVERS DIVER AYAME","2640","2400","28800","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"1049","2019-08-03","HGUC","?쇰컲??(Standard)","HGUC 1/144 UNICORN GUNDAM 03 PHENEX (UNICORN MODE) (NARRATIVE Ver.)[GOLD COATING]","5500","5000","60000","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
"105","2020-06-27","HG","?쇰컲??(Standard)","HGBD:R 1/144 FAKE ν WEAPONS","770","700","8400","12","12諛?14.3諛?諛섏퐫 怨듭떇 ?뺢? 100% ?쇱튂"
